Name,composer,milliseconds,bytes,unitprice
Desafinado,NULL,185338,5990473,0.99
"Garota De Ipanema",NULL,285048,9348428,0.99
"Samba De Uma Nota Só (One Note Samba)",NULL,137273,4535401,0.99
Fotografia,NULL,129227,4198774,0.99
"Dindi (Dindi)",NULL,253178,8149148,0.99
"Se Todos Fossem Iguais A Você (Instrumental)",NULL,134948,4393377,0.99
"Corcovado (Quiet Nights Of Quiet Stars)",NULL,205662,6687994,0.99
"Outra Vez",NULL,126511,4110053,0.99
Quadrant,"Billy Cobham",261851,8538199,0.99
"Snoopy's search-Red baron","Billy Cobham",456071,15075616,0.99
Stratus,"Billy Cobham",582086,19115680,0.99
"The pleasant pheasant","Billy Cobham",318066,10630578,0.99
"Heart of the Night",NULL,273737,9098263,0.99
"Westwood Moon",NULL,295627,9765802,0.99
Midnight,NULL,266866,8851060,0.99
"Now's The Time","Miles Davis",197459,6358868,0.99
"Tempus Fugit","Miles Davis",231784,7548434,0.99
Walkin',"Miles Davis",807392,26411634,0.99
"New Rhumba","Miles Davis",277968,9018024,0.99
Generique,"Miles Davis",168777,5437017,0.99
Summertime,"Miles Davis",200437,6461370,0.99
"Someday My Prince Will Come","Miles Davis",544078,17890773,0.99
"My Funny Valentine (Live)","Miles Davis",907520,29416781,0.99
"Petits Machins (Little Stuff)","Miles Davis",487392,16131272,0.99
"Miles Runs The Voodoo Down","Miles Davis",843964,27967919,0.99
"Little Church (Live)","Miles Davis",196101,6273225,0.99
"Time After Time","Miles Davis",220734,7292197,0.99
Portia,"Miles Davis",378775,12520126,0.99
"Jeepers Creepers",NULL,185965,5991903,0.99
"Leave Us Leap",NULL,182726,5898810,0.99
"Disc Jockey Jump",NULL,193149,6260820,0.99
"Coronation Drop",NULL,176222,5899898,0.99
Imagination,NULL,289306,9444385,0.99
Midget,NULL,217025,7257663,0.99
"I'm Coming Virginia",NULL,280163,9209827,0.99
"Payin' Them Dues Blues",NULL,198556,6536918,0.99
"Swedish Schnapps",NULL,191268,6359750,0.99
"Roll Call","Jim Beard",321358,10653494,0.99
"Paris On Mine","Jon Herington",368875,12059507,0.99
"In Time","Sylvester Stewart",368953,12287103,0.99
"Plan B","Dean Brown, Dennis Chambers & Jim Beard",272039,9032315,0.99
"Talkin Loud and Saying Nothin","James Brown & Bobby Byrd",360411,11994859,0.99
"Doce De Carnaval (Candy All)",NULL,356101,11998470,0.99
Pretinha,NULL,265273,8914579,0.99
"Love Is The Colour","R. Carless",251585,8419165,0.99
Gypsy,"Kevin Robinson",330997,11083374,0.99
"Journey Into Sunlight","Jean Paul Maunick",249756,8241177,0.99
Sunchild,"Graham Harvey",259970,8593143,0.99
"Dark Side Of The Cog","Jean Paul Maunick",377155,12491122,0.99
Springsville,"J. Carisi",207725,6776219,0.99
"The Maids Of Cadiz","L. Delibes",233534,7505275,0.99
"Miles Ahead","Miles Davis, Gil Evans",209893,6807707,0.99
"Blues For Pablo","Gil Evans",318328,10218398,0.99
"New Rhumba","A. Jamal",276871,8980400,0.99
"Springsville (Alternate Take)","J. Carisi",196388,6382079,0.99
"The Meaning Of The Blues/Lament (Alternate Take)","J.J. Johnson/R. Troup, L. Worth",309786,9912387,0.99
"I Don't Wanna Be Kissed (By Anyone But You) (Alternate Take)","H. Spina, J. Elliott",192078,6254796,0.99
"Morning Dance","Jay Beckenstein",238759,8101979,0.99
Jubilee,"Jeremy Wall",275147,9151846,0.99
Amanda,"Luca Gusella",246503,4011615,0.99
Despertar,"Andrea Dulbecco",307385,4821485,0.99
"OAM's Blues","Aaron Goldberg",266936,4292028,0.99
